Title,Genre,Language,Year,Rating
Gully Boy,Drama,Hindi,2019,8
Article 15,Crime,Hindi,2019,8
RRR,Action,Telugu,2022,8
Brochevarevarura,Crime,Telugu,2019,8
The Revenant,Adventure,English,2015,8
The Pursuit of Happyness,Biography,English,2006,8
The Imitation Game,Biography,English,2014,8
Ennu Ninte Moideen,Romance,Malayalam,2015,8
The Avengers,Action,English,2012,8
Guardians of the Galaxy,Sci-Fi,English,2014,8
Zack Snyder's Justice League,Action,English,2021,8
Android Kunjappan,Comedy,Malayalam,2019,7.9
Charlie,Romance,Malayalam,2015,7.9
Minnal Murali,Sci-Fi,Malayalam,2021,7.9
Badhaai Ho,Comedy,Hindi,2018,7.9
Arjun Reddy,Romance,Telugu,2017,7.9
Goodachari,Thriller,Telugu,2018,7.9
Karthikeya 2,Adventure,Telugu,2022,7.9
Titanic,Romance,English,1997,7.9
Thuppakki,Action,Tamil,2012,7.9
Iron Man,Action,English,2008,7.9
Thor: Ragnarok,Action,English,2017,7.9
Joji,Crime,Malayalam,2021,7.8
Doctor,Comedy,Tamil,2021,7.8
Mimi,Drama,Hindi,2021,7.8
The Social Network,Biography,English,2010,7.8
Avatar,Sci-Fi,English,2009,7.8
Mayaanadhi,Romance,Malayalam,2017,7.8
Captain America: Civil War,Action,English,2016,7.8
Njan Prakashan,Comedy,Malayalam,2018,7.7
Kannum Kannum Kollaiyadithaal,Romance,Tamil,2020,7.7
Eega,Fantasy,Telugu,2012,7.7
Ayan,Action,Tamil,2009,7.7
Captain America: The Winter Soldier,Action,English,2014,7.7
Salt N' Pepper,Romance,Malayalam,2011,7.6
Saani Kaayidham,Action,Tamil,2022,7.6
Stree,Horror,Hindi,2018,7.6
Pushpa,Action,Telugu,2021,7.6
Neelakasham Pachakadal Chuvanna Bhoomi,Romance,Malayalam,2013,7.6
Koode,Romance,Malayalam,2018,7.6
Guardians of the Galaxy Vol. 2,Sci-Fi,English,2017,7.6
Jallikattu,Action,Malayalam,2019,7.5
Neram,Thriller,Malayalam,2013,7.5
Doctor Strange,Fantasy,English,2016,7.5
Theri,Action,Tamil,2016,7.4
Ala Vaikunthapurramuloo,Romance,Telugu,2020,7.4
Annayum Rasoolum,Romance,Malayalam,2013,7.4
Thira,Romance,Malayalam,2013,7.4
Spider-Man: Homecoming,Action,English,2017,7.4
Spider-Man: Far From Home,Action,English,2019,7.4
Shang-Chi and the Legend of the Ten Rings,Action,English,2021,7.4
Wonder Woman,Action,English,2017,7.4
Master,Action,Tamil,2021,7.3
DJ Tillu,Comedy,Telugu,2022,7.3
No Time to Die,Action,English,2021,7.3
Thattathin Marayathu,Romance,Malayalam,2012,7.3
Avengers: Age of Ultron,Action,English,2015,7.3
Ant-Man,Comedy,English,2015,7.3
Black Panther,Action,English,2018,7.3
Jawan,Action,Hindi,2023,7.2
Mersal,Action,Tamil,2017,7.2
Petta,Action,Tamil,2019,7.2
The Suicide Squad,Action,English,2021,7.2
Don,Comedy,Tamil,2022,7.1
Kadha Thudarunnu,Romance,Malayalam,2010,7.1
Iron Man 3,Action,English,2013,7.1
Man of Steel,Action,English,2013,7.1
Sarkar,Action,Tamil,2018,7
Iron Man 2,Action,English,2010,7
Thor,Action,English,2011,7
Ant-Man and the Wasp,Comedy,English,2018,7
Shazam!,Comedy,English,2019,7
Varane Avashyamund,Romance,Malayalam,2020,6.9
Bigil,Sports,Tamil,2019,6.9
Pathaan,Action,Hindi,2023,6.9
Anarkali,Romance,Malayalam,2015,6.9
Elsamma Enna Aankutty,Romance,Malayalam,2010,6.9
Ishq,Romance,Malayalam,2019,6.9
Sunday Holiday,Romance,Malayalam,2017,6.9
Vikramadithyan,Romance,Malayalam,2014,6.9
Kunjiramayanam,Romance,Malayalam,2015,6.9
Singam,Action,Tamil,2010,6.9
Captain America: The First Avenger,Action,English,2011,6.9
Doctor Strange in the Multiverse of Madness,Fantasy,English,2022,6.9
Raees,Action,Hindi,2017,6.8
Love Story,Romance,Telugu,2021,6.8
Bheemla Nayak,Action,Telugu,2022,6.8
Singam 2,Action,Tamil,2013,6.8
Thor: The Dark World,Action,English,2013,6.8
Captain Marvel,Action,English,2019,6.8
Aquaman,Action,English,2018,6.8
Chandrettan Evideya,Romance,Malayalam,2015,6.7
Black Widow,Action,English,2021,6.7
Black Panther: Wakanda Forever,Action,English,2022,6.7
The Flash,Action,English,2023,6.7
Blue Beetle,Action,English,2023,6.7
Ezra,Horror,Malayalam,2017,6.6
Oru Vadakkan Selfie,Romance,Malayalam,2015,6.6
The Incredible Hulk,Action,English,2008,6.6
Batman v Superman: Dawn of Justice,Action,English,2016,6.5
Thirupaachi,Action,Tamil,2005,6.4
Etharkkum Thunindhavan,Action,Tamil,2022,6.3
Vedalam,Action,Tamil,2015,6.3
Maari,Action,Tamil,2015,6.3
Eternals,Fantasy,English,2021,6.3
Tughlaq Durbar,Political,Tamil,2021,6.2
Thor: Love and Thunder,Action,English,2022,6.2
Black Adam,Action,English,2022,6.2
Cobra,Thriller,Tamil,2022,6.1
Darbar,Action,Tamil,2020,6.1
Ant-Man and the Wasp: Quantumania,Sci-Fi,English,2023,6.1
Justice League,Action,English,2017,6.1
Kabali,Action,Tamil,2016,6
Birds of Prey,Action,English,2020,6
Shazam! Fury of the Gods,Comedy,English,2023,6
Singam 3,Action,Tamil,2017,5.9
Suicide Squad,Action,English,2016,5.9
Maniyarayile Ashokan,Romance,Malayalam,2020,5.8
Bairavaa,Action,Tamil,2017,5.8
Aquaman and the Lost Kingdom,Action,English,2023,5.7
The Marvels,Action,English,2023,5.6
Wonder Woman 1984,Action,English,2020,5.4
